"Id","Experiment","Sex","Drug","Genotype","Trial","Outcome"
102,3,"M","Saline","KI",3,0.15
102,3,"M","Saline","KI",4,0.183
103,3,"M","Saline","KI",1,0.173
103,3,"M","Saline","KI",2,0.19
103,3,"M","Saline","KI",3,0.143
103,3,"M","Saline","KI",4,0.14
104,3,"M","Saline","KI",1,0.178
104,3,"M","Saline","KI",2,0.144
104,3,"M","Saline","KI",3,0.145
104,3,"M","Saline","KI",4,0.131
105,3,"M","Saline","KI",1,0.214
105,3,"M","Saline","KI",2,0.184
105,3,"M","Saline","KI",3,0.168
105,3,"M","Saline","KI",4,0.157
106,3,"M","Saline","KI",1,0.137
106,3,"M","Saline","KI",2,0.107
106,3,"M","Saline","KI",3,0.11
106,3,"M","Saline","KI",4,0.095
107,3,"M","Saline","KI",1,0.107
107,3,"M","Saline","KI",2,0.105
107,3,"M","Saline","KI",3,0.077
107,3,"M","Saline","KI",4,0.081
101,1,"M","SKF","KI",1,0.21
101,1,"M","SKF","KI",2,0.155
101,1,"M","SKF","KI",3,0.144
101,1,"M","SKF","KI",4,0.128
102,1,"M","SKF","KI",1,0.127
102,1,"M","SKF","KI",2,0.107
102,1,"M","SKF","KI",3,0.134
102,1,"M","SKF","KI",4,0.125
103,1,"M","SKF","KI",1,0.147
103,1,"M","SKF","KI",2,0.2
103,1,"M","SKF","KI",3,0.154
103,1,"M","SKF","KI",4,0.131
104,1,"M","SKF","KI",1,0.191
104,1,"M","SKF","KI",2,0.163
104,1,"M","SKF","KI",3,0.136
104,1,"M","SKF","KI",4,0.128
105,1,"M","SKF","KI",1,0.187
105,1,"M","SKF","KI",2,0.176
105,1,"M","SKF","KI",3,0.195
105,1,"M","SKF","KI",4,0.142
106,1,"M","SKF","KI",1,0.169
106,1,"M","SKF","KI",2,0.13
106,1,"M","SKF","KI",3,0.109
106,1,"M","SKF","KI",4,0.059
107,1,"M","SKF","KI",1,0.11
107,1,"M","SKF","KI",2,0.1
107,1,"M","SKF","KI",3,0.079
107,1,"M","SKF","KI",4,0.061
101,2,"M","SKF","KI",1,0.207
101,2,"M","SKF","KI",2,0.182
101,2,"M","SKF","KI",3,0.166
101,2,"M","SKF","KI",4,0.148
102,2,"M","SKF","KI",1,0.143
102,2,"M","SKF","KI",2,0.154
102,2,"M","SKF","KI",3,0.164
102,2,"M","SKF","KI",4,0.175
103,2,"M","SKF","KI",1,0.156
103,2,"M","SKF","KI",2,0.25
103,2,"M","SKF","KI",3,0.134
103,2,"M","SKF","KI",4,0.244
104,2,"M","SKF","KI",1,0.163
104,2,"M","SKF","KI",2,0.121
104,2,"M","SKF","KI",3,0.15
104,2,"M","SKF","KI",4,0.11
105,2,"M","SKF","KI",1,0.182
105,2,"M","SKF","KI",2,0.16
105,2,"M","SKF","KI",3,0.161
105,2,"M","SKF","KI",4,0.144
106,2,"M","SKF","KI",1,0.107
106,2,"M","SKF","KI",2,0.116
106,2,"M","SKF","KI",3,0.055
106,2,"M","SKF","KI",4,0.123
107,2,"M","SKF","KI",1,0.079
107,2,"M","SKF","KI",2,0.081
107,2,"M","SKF","KI",3,0.095
107,2,"M","SKF","KI",4,0.08
101,3,"M","SKF","KI",1,0.079
101,3,"M","SKF","KI",2,0.165
101,3,"M","SKF","KI",3,0.121
101,3,"M","SKF","KI",4,0.095
102,3,"M","SKF","KI",1,0.179
102,3,"M","SKF","KI",2,0.15
102,3,"M","SKF","KI",3,0.16
102,3,"M","SKF","KI",4,0.173
103,3,"M","SKF","KI",1,0.242
103,3,"M","SKF","KI",2,0.205
103,3,"M","SKF","KI",3,0.198
103,3,"M","SKF","KI",4,0.14
104,3,"M","SKF","KI",1,0.17
104,3,"M","SKF","KI",2,0.134
104,3,"M","SKF","KI",3,0.123
104,3,"M","SKF","KI",4,0.107
105,3,"M","SKF","KI",1,0.182
105,3,"M","SKF","KI",2,0.152
105,3,"M","SKF","KI",3,0.156
105,3,"M","SKF","KI",4,0.149
106,3,"M","SKF","KI",1,0.124
106,3,"M","SKF","KI",2,0.121
106,3,"M","SKF","KI",3,0.109
106,3,"M","SKF","KI",4,0.091
107,3,"M","SKF","KI",1,0.109
107,3,"M","SKF","KI",2,0.099
107,3,"M","SKF","KI",3,0.081
107,3,"M","SKF","KI",4,0.063
108,1,"F","Saline","KI",1,0.088
108,1,"F","Saline","KI",2,0.169
108,1,"F","Saline","KI",3,0.079
108,1,"F","Saline","KI",4,0.028
109,1,"F","Saline","KI",1,0.117
109,1,"F","Saline","KI",2,0.11
109,1,"F","Saline","KI",3,0.091
109,1,"F","Saline","KI",4,0.085
110,1,"F","Saline","KI",1,0.096
110,1,"F","Saline","KI",2,0.065
110,1,"F","Saline","KI",3,0.051
110,1,"F","Saline","KI",4,0.05
111,1,"F","Saline","KI",1,0.107
111,1,"F","Saline","KI",2,0.114
111,1,"F","Saline","KI",3,0.123
111,1,"F","Saline","KI",4,0.111
112,1,"F","Saline","KI",1,0.175
112,1,"F","Saline","KI",2,0.141
112,1,"F","Saline","KI",3,0.148
112,1,"F","Saline","KI",4,0.146
113,1,"F","Saline","KI",1,0.151
113,1,"F","Saline","KI",2,0.096
113,1,"F","Saline","KI",3,0.15
113,1,"F","Saline","KI",4,0.087
114,1,"F","Saline","KI",1,0.109
114,1,"F","Saline","KI",2,0.185
114,1,"F","Saline","KI",3,0.115
114,1,"F","Saline","KI",4,0.114
115,1,"F","Saline","KI",1,0.078
115,1,"F","Saline","KI",2,0.087
115,1,"F","Saline","KI",3,0.049
115,1,"F","Saline","KI",4,0.064
116,1,"F","Saline","KI",1,0.04
116,1,"F","Saline","KI",2,0.086
116,1,"F","Saline","KI",3,0.09
116,1,"F","Saline","KI",4,0.065
117,1,"F","Saline","KI",1,0.175
117,1,"F","Saline","KI",2,0.152
117,1,"F","Saline","KI",3,0.098
117,1,"F","Saline","KI",4,0.145
118,1,"F","Saline","KI",1,0.206
118,1,"F","Saline","KI",2,0.184
118,1,"F","Saline","KI",3,0.157
118,1,"F","Saline","KI",4,0.151
108,2,"F","Saline","KI",1,0.134
108,2,"F","Saline","KI",2,0.112
108,2,"F","Saline","KI",3,0.026
108,2,"F","Saline","KI",4,0.047
109,2,"F","Saline","KI",1,0.167
109,2,"F","Saline","KI",2,0.15
109,2,"F","Saline","KI",3,0.11
109,2,"F","Saline","KI",4,0.105
110,2,"F","Saline","KI",1,0.077
110,2,"F","Saline","KI",2,0.073
110,2,"F","Saline","KI",3,0.046
110,2,"F","Saline","KI",4,0.046
111,2,"F","Saline","KI",1,0.142
111,2,"F","Saline","KI",2,0.139
111,2,"F","Saline","KI",3,0.104
111,2,"F","Saline","KI",4,0.129
112,2,"F","Saline","KI",1,0.18
112,2,"F","Saline","KI",2,0.145
112,2,"F","Saline","KI",3,0.143
112,2,"F","Saline","KI",4,0.141
113,2,"F","Saline","KI",1,0.152
113,2,"F","Saline","KI",2,0.162
113,2,"F","Saline","KI",3,0.162
113,2,"F","Saline","KI",4,0.157
114,2,"F","Saline","KI",1,0.207
114,2,"F","Saline","KI",2,0.191
114,2,"F","Saline","KI",3,0.162
114,2,"F","Saline","KI",4,0.144
115,2,"F","Saline","KI",1,0.113
115,2,"F","Saline","KI",2,0.049
115,2,"F","Saline","KI",3,0.048
115,2,"F","Saline","KI",4,0.044
116,2,"F","Saline","KI",1,0.086
116,2,"F","Saline","KI",2,0.083
116,2,"F","Saline","KI",3,0.081
116,2,"F","Saline","KI",4,0.103
117,2,"F","Saline","KI",1,0.18
117,2,"F","Saline","KI",2,0.162
117,2,"F","Saline","KI",3,0.157
117,2,"F","Saline","KI",4,0.118
118,2,"F","Saline","KI",1,0.176
118,2,"F","Saline","KI",2,0.179
118,2,"F","Saline","KI",3,0.195
118,2,"F","Saline","KI",4,0.171
108,3,"F","Saline","KI",1,0.125
108,3,"F","Saline","KI",2,0.138
108,3,"F","Saline","KI",3,0.053
108,3,"F","Saline","KI",4,0.042
109,3,"F","Saline","KI",1,0.126
109,3,"F","Saline","KI",2,0.108
109,3,"F","Saline","KI",3,0.109
109,3,"F","Saline","KI",4,0.106
110,3,"F","Saline","KI",1,0.055
110,3,"F","Saline","KI",2,0.034
110,3,"F","Saline","KI",3,0.042
110,3,"F","Saline","KI",4,0.043
111,3,"F","Saline","KI",1,0.157
111,3,"F","Saline","KI",2,0.161
111,3,"F","Saline","KI",3,0.143
111,3,"F","Saline","KI",4,0.136
112,3,"F","Saline","KI",1,0.168
112,3,"F","Saline","KI",2,0.152
112,3,"F","Saline","KI",3,0.128
112,3,"F","Saline","KI",4,0.149
113,3,"F","Saline","KI",1,0.197
113,3,"F","Saline","KI",2,0.151
113,3,"F","Saline","KI",3,0.173
113,3,"F","Saline","KI",4,0.154
114,3,"F","Saline","KI",1,0.183
114,3,"F","Saline","KI",2,0.178
114,3,"F","Saline","KI",3,0.145
114,3,"F","Saline","KI",4,0.113
