"Id","Drug","Genotype","Sex","Experiment","Trial","Outcome"
19,"Saline","KI","F",1,2,9.3
19,"Saline","KI","F",1,3,16.4
19,"Saline","KI","F",1,4,19.8
19,"Saline","KI","F",2,1,27.2
19,"Saline","KI","F",2,2,21.1
19,"Saline","KI","F",2,3,60
19,"Saline","KI","F",2,4,60
19,"SKF","KI","F",1,1,29.2
19,"SKF","KI","F",1,2,60
19,"SKF","KI","F",1,3,46
19,"SKF","KI","F",1,4,35.9
19,"SKF","KI","F",2,1,60
19,"SKF","KI","F",2,2,27.6
19,"SKF","KI","F",2,3,60
19,"SKF","KI","F",2,4,44.1
20,"Saline","KI","F",1,1,18.4
20,"Saline","KI","F",1,2,19.5
20,"Saline","KI","F",1,3,27.1
20,"Saline","KI","F",1,4,13
20,"Saline","KI","F",2,1,60
20,"Saline","KI","F",2,2,57.8
20,"Saline","KI","F",2,3,60
20,"Saline","KI","F",2,4,39.9
20,"SKF","KI","F",1,1,58.2
20,"SKF","KI","F",1,2,21.1
20,"SKF","KI","F",1,3,8.3
20,"SKF","KI","F",1,4,5.2
20,"SKF","KI","F",2,1,41.6
20,"SKF","KI","F",2,2,55.8
20,"SKF","KI","F",2,3,60
20,"SKF","KI","F",2,4,27.5
21,"Saline","KI","F",1,1,5.1
21,"Saline","KI","F",1,2,60
21,"Saline","KI","F",1,3,10.9
21,"Saline","KI","F",1,4,5
21,"Saline","KI","F",2,1,60
21,"Saline","KI","F",2,2,13.7
21,"Saline","KI","F",2,3,60
21,"Saline","KI","F",2,4,60
21,"SKF","KI","F",1,1,60
21,"SKF","KI","F",1,2,60
21,"SKF","KI","F",1,3,60
21,"SKF","KI","F",1,4,60
21,"SKF","KI","F",2,1,60
21,"SKF","KI","F",2,2,60
21,"SKF","KI","F",2,3,60
21,"SKF","KI","F",2,4,60
22,"Saline","KI","F",1,1,31.9
22,"Saline","KI","F",1,2,29.7
22,"Saline","KI","F",1,3,46.2
22,"Saline","KI","F",1,4,14.4
22,"Saline","KI","F",2,1,58.7
22,"Saline","KI","F",2,2,33.1
22,"Saline","KI","F",2,3,18.8
22,"Saline","KI","F",2,4,21.9
22,"SKF","KI","F",1,1,60
22,"SKF","KI","F",1,2,32.5
22,"SKF","KI","F",1,3,60
22,"SKF","KI","F",1,4,9.5
22,"SKF","KI","F",2,1,60
22,"SKF","KI","F",2,2,55.3
22,"SKF","KI","F",2,3,37.7
22,"SKF","KI","F",2,4,20.6
23,"Saline","KI","F",1,1,40.8
23,"Saline","KI","F",1,2,12.3
23,"Saline","KI","F",1,3,38.4
23,"Saline","KI","F",1,4,7.5
23,"Saline","KI","F",2,1,60
23,"Saline","KI","F",2,2,60
23,"Saline","KI","F",2,3,60
23,"Saline","KI","F",2,4,37.5
23,"SKF","KI","F",1,1,60
23,"SKF","KI","F",1,2,60
23,"SKF","KI","F",1,3,60
23,"SKF","KI","F",1,4,60
23,"SKF","KI","F",2,1,48.9
23,"SKF","KI","F",2,2,60
23,"SKF","KI","F",2,3,60
23,"SKF","KI","F",2,4,60
24,"Saline","KI","F",1,1,23.7
24,"Saline","KI","F",1,2,26.4
24,"Saline","KI","F",1,3,25.5
24,"Saline","KI","F",1,4,39.8
24,"Saline","KI","F",2,1,36.6
24,"Saline","KI","F",2,2,22.7
24,"Saline","KI","F",2,3,60
24,"Saline","KI","F",2,4,4
24,"SKF","KI","F",1,1,41.8
24,"SKF","KI","F",1,2,6.2
24,"SKF","KI","F",1,3,6.4
24,"SKF","KI","F",1,4,7.9
24,"SKF","KI","F",2,1,47.5
24,"SKF","KI","F",2,2,6.3
24,"SKF","KI","F",2,3,12.8
24,"SKF","KI","F",2,4,56
101,"Saline","KI","M",1,1,60
101,"Saline","KI","M",1,2,2.9
101,"Saline","KI","M",1,3,60
101,"Saline","KI","M",1,4,1.3
102,"Saline","KI","M",1,1,7.3
102,"Saline","KI","M",1,2,15.6
102,"Saline","KI","M",1,3,4.3
102,"Saline","KI","M",1,4,17.8
103,"Saline","KI","M",1,1,31
103,"Saline","KI","M",1,2,2.1
103,"Saline","KI","M",1,3,60
103,"Saline","KI","M",1,4,29.6
104,"Saline","KI","M",1,1,3.3
104,"Saline","KI","M",1,2,16.3
104,"Saline","KI","M",1,3,28.8
104,"Saline","KI","M",1,4,1.8
105,"Saline","KI","M",1,1,25.4
105,"Saline","KI","M",1,2,7.4
105,"Saline","KI","M",1,3,3.4
105,"Saline","KI","M",1,4,16.9
106,"Saline","KI","M",1,1,60
106,"Saline","KI","M",1,2,8.8
106,"Saline","KI","M",1,3,12
106,"Saline","KI","M",1,4,9.5
107,"Saline","KI","M",1,1,60
107,"Saline","KI","M",1,2,45.7
